symptoms,disease,remedy
headache nausea light sensitivity,Migraine,Rest in a dark room and hydrate
stiff neck fever headache confusion,Meningitis,Seek emergency medical care immediately
fever dry cough tiredness loss of taste,COVID-19,Isolate and monitor oxygen levels
chest pain shortness of breath sweating,Heart Attack,Call ambulance immediately
burning sensation stomach bloating,Gastritis,Avoid spicy food and take antacids
joint pain rash fatigue fever,Dengue,Drink papaya leaf juice and stay hydrated
increased thirst frequent urination blurry vision,Diabetes,Check insulin levels and avoid sugar
shaking chills high fever chest pain,Pneumonia,See a doctor for antibiotics
itchy eyes runny nose sneezing,Allergy,Take antihistamines and avoid dust
yellow skin dark urine abdominal pain,Jaundice,Eat light food and rest